Nazwa,Rok,Szpitale,Pielegniarki_Polozne,Lekarze,Apteki,Punkty_apteczne,Osoby_swiadczenia_spoleczne,Placowki_ambulatoryjne,Ludnosc,Lozka
Mazowieckie,2021,118.0,53320.0,30429.0,1616.0,135.0,163770.0,3219.0,5512794.0,25071.0
Mazowieckie,2022,115.0,35556.0,25819.0,1587.0,128.0,153068.0,3412.0,5510612.0,23712.0
Mazowieckie,2023,116.0,38332.0,33929.0,1573.0,125.0,149248.0,3570.0,5510527.0,23214.0
Mazowieckie,2024,113.0,39396.0,32630.0,1548.0,124.0,137618.0,3685.0,5508322.0,23224.0
Opolskie,2009,22.0,5487.0,3204.0,273.0,30.0,59561.0,425.0,1031097.0,4451.0
Opolskie,2010,22.0,5246.0,2975.0,279.0,38.0,59708.0,433.0,1017241.0,4387.0
Opolskie,2011,23.0,5365.0,3094.0,298.0,40.0,59083.0,502.0,1013950.0,4381.0
Opolskie,2012,28.0,6436.0,3290.0,303.0,42.0,57072.0,518.0,1010203.0,4973.0
Opolskie,2013,28.0,5483.0,3402.0,308.0,47.0,61898.0,520.0,1004416.0,4930.0
Opolskie,2014,29.0,5737.0,3497.0,307.0,48.0,58689.0,532.0,1000858.0,4857.0
Opolskie,2015,28.0,6465.0,3704.0,314.0,47.0,56238.0,538.0,996011.0,4604.0
Opolskie,2016,30.0,5755.0,3938.0,327.0,47.0,52073.0,543.0,993036.0,4741.0
Opolskie,2017,31.0,5965.0,3914.0,335.0,43.0,47389.0,546.0,990069.0,4569.0
Opolskie,2018,30.0,6089.0,3872.0,319.0,40.0,42922.0,561.0,986506.0,4418.0
Opolskie,2019,29.0,6206.0,4060.0,304.0,43.0,38957.0,548.0,982626.0,3839.0
Opolskie,2020,29.0,6277.0,4195.0,291.0,37.0,36435.0,532.0,955844.0,4022.0
Opolskie,2021,30.0,6899.0,2705.0,291.0,35.0,32996.0,520.0,948583.0,4376.0
Opolskie,2022,30.0,5364.0,2622.0,294.0,30.0,29855.0,551.0,942441.0,4222.0
Opolskie,2023,29.0,5575.0,3173.0,282.0,28.0,28917.0,579.0,936725.0,4030.0
Opolskie,2024,28.0,5579.0,3363.0,273.0,28.0,34123.0,587.0,930296.0,3940.0
Podkarpackie,2009,34.0,12062.0,6483.0,567.0,123.0,175840.0,884.0,2101732.0,9717.0
Podkarpackie,2010,35.0,12447.0,7057.0,570.0,120.0,171420.0,898.0,2127948.0,9556.0
Podkarpackie,2011,32.0,12644.0,7471.0,590.0,123.0,163930.0,1039.0,2128687.0,9555.0
Podkarpackie,2012,39.0,13670.0,7951.0,600.0,122.0,160625.0,1068.0,2129951.0,10100.0
Podkarpackie,2013,39.0,13562.0,8123.0,629.0,125.0,168463.0,1087.0,2129294.0,10180.0
Podkarpackie,2014,41.0,13818.0,8365.0,639.0,131.0,157232.0,1125.0,2129187.0,10289.0
Podkarpackie,2015,41.0,14626.0,8826.0,655.0,134.0,151968.0,1137.0,2127657.0,10249.0
Podkarpackie,2016,40.0,14254.0,9170.0,700.0,138.0,137591.0,1182.0,2127656.0,10342.0
Podkarpackie,2017,41.0,15137.0,9383.0,714.0,128.0,122465.0,1242.0,2129138.0,10219.0
Podkarpackie,2018,42.0,15837.0,9727.0,687.0,124.0,111851.0,1229.0,2129015.0,9935.0
Podkarpackie,2019,41.0,16236.0,10054.0,665.0,122.0,102023.0,1251.0,2127164.0,9349.0
Podkarpackie,2020,41.0,16113.0,10153.0,643.0,121.0,96164.0,1254.0,2096166.0,9045.0
Podkarpackie,2021,43.0,17410.0,6321.0,632.0,121.0,81338.0,1286.0,2085932.0,9067.0
Podkarpackie,2022,40.0,13770.0,6446.0,617.0,122.0,74800.0,1254.0,2079098.0,8702.0
Podkarpackie,2023,41.0,14338.0,7505.0,593.0,121.0,72739.0,1294.0,2071676.0,8686.0
Podkarpackie,2024,39.0,14452.0,7856.0,579.0,123.0,67926.0,1341.0,2062997.0,8686.0
Podlaskie,2009,30.0,7032.0,5087.0,322.0,64.0,103616.0,605.0,1189731.0,6230.0
Podlaskie,2010,30.0,7006.0,5156.0,337.0,65.0,106268.0,628.0,1203448.0,5970.0
Podlaskie,2011,31.0,7038.0,5311.0,349.0,62.0,101459.0,700.0,1200982.0,5699.0
Podlaskie,2012,33.0,7554.0,5691.0,352.0,64.0,99703.0,733.0,1198690.0,5851.0
Podlaskie,2013,35.0,7516.0,5865.0,377.0,67.0,102410.0,737.0,1194965.0,5850.0
Podlaskie,2014,36.0,7290.0,5830.0,386.0,66.0,98448.0,753.0,1191918.0,5893.0
Podlaskie,2015,34.0,7419.0,5997.0,387.0,61.0,94333.0,760.0,1188800.0,5933.0
Podlaskie,2016,37.0,7611.0,6303.0,406.0,59.0,85773.0,765.0,1186625.0,6025.0
Podlaskie,2017,36.0,7454.0,6196.0,413.0,60.0,77007.0,764.0,1184548.0,5964.0
Podlaskie,2018,34.0,7751.0,6115.0,398.0,54.0,69792.0,758.0,1181533.0,5888.0
Podlaskie,2019,32.0,7867.0,6146.0,382.0,51.0,64050.0,762.0,1178353.0,5086.0
Podlaskie,2020,34.0,8060.0,6361.0,369.0,49.0,60643.0,727.0,1156591.0,5401.0
Podlaskie,2021,34.0,9630.0,5193.0,369.0,50.0,55045.0,788.0,1148720.0,5562.0
Podlaskie,2022,35.0,7270.0,4772.0,366.0,45.0,51771.0,809.0,1143355.0,5293.0
Podlaskie,2023,35.0,7884.0,5789.0,362.0,41.0,51645.0,831.0,1138216.0,5296.0
Podlaskie,2024,37.0,8042.0,5984.0,363.0,38.0,46546.0,854.0,1132641.0,5294.0
Pomorskie,2009,36.0,10711.0,9389.0,589.0,26.0,171260.0,763.0,2230099.0,8875.0
Pomorskie,2010,41.0,10495.0,9570.0,618.0,29.0,171654.0,776.0,2275494.0,8708.0
Pomorskie,2011,40.0,10840.0,9610.0,654.0,30.0,167626.0,881.0,2283500.0,8542.0
Pomorskie,2012,51.0,14167.0,11069.0,682.0,42.0,157423.0,891.0,2290070.0,9068.0
Pomorskie,2013,54.0,11836.0,10774.0,710.0,43.0,162828.0,925.0,2295811.0,9459.0
Pomorskie,2014,55.0,11400.0,11423.0,684.0,48.0,154037.0,939.0,2302077.0,9333.0
Pomorskie,2015,54.0,11636.0,11720.0,728.0,48.0,147761.0,949.0,2307710.0,9506.0
Pomorskie,2016,53.0,11502.0,12584.0,739.0,48.0,134911.0,1002.0,2315611.0,9119.0
Pomorskie,2017,44.0,11943.0,13071.0,745.0,44.0,122982.0,1026.0,2324251.0,9256.0
Pomorskie,2018,45.0,13233.0,13179.0,724.0,45.0,109933.0,1113.0,2333523.0,9100.0
Pomorskie,2019,44.0,11469.0,11800.0,667.0,41.0,101854.0,1114.0,2343928.0,8433.0
Pomorskie,2020,43.0,11787.0,12157.0,665.0,40.0,92839.0,1114.0,2358256.0,8615.0
Pomorskie,2021,39.0,13875.0,9334.0,661.0,40.0,84512.0,1145.0,2358726.0,7910.0
Pomorskie,2022,41.0,11165.0,8826.0,660.0,40.0,80097.0,1208.0,2358307.0,7820.0
Pomorskie,2023,40.0,11744.0,10154.0,652.0,37.0,80487.0,1252.0,2359573.0,7787.0
Pomorskie,2024,38.0,12076.0,10710.0,635.0,38.0,73516.0,1310.0,2359493.0,7796.0
Śląskie,2009,107.0,29285.0,21084.0,1176.0,99.0,268378.0,2419.0,4640725.0,26624.0
Śląskie,2010,115.0,29177.0,21749.0,1294.0,97.0,268204.0,2437.0,4634935.0,25989.0
Śląskie,2011,116.0,30379.0,23738.0,1344.0,103.0,260645.0,2716.0,4626357.0,25568.0
Śląskie,2012,134.0,30119.0,24076.0,1395.0,100.0,249807.0,2737.0,4615870.0,26001.0
Śląskie,2013,145.0,29656.0,24264.0,1401.0,115.0,264317.0,2702.0,4599447.0,25898.0
Śląskie,2014,151.0,30715.0,26079.0,1456.0,110.0,250877.0,2806.0,4585924.0,25757.0
Śląskie,2015,152.0,31813.0,28264.0,1486.0,104.0,239787.0,2814.0,4570849.0,25526.0
Śląskie,2016,155.0,31553.0,28832.0,1508.0,106.0,214286.0,2873.0,4559164.0,25418.0
Śląskie,2017,155.0,33203.0,30157.0,1526.0,110.0,190637.0,2849.0,4548180.0,25091.0
Śląskie,2018,157.0,33627.0,30382.0,1485.0,102.0,167395.0,2790.0,4533565.0,24689.0
Śląskie,2019,136.0,33706.0,30708.0,1420.0,99.0,152608.0,2797.0,4517635.0,23287.0
Śląskie,2020,141.0,33089.0,30556.0,1410.0,92.0,141579.0,2711.0,4412097.0,22668.0
Śląskie,2021,141.0,38445.0,18777.0,1372.0,92.0,131763.0,2654.0,4375947.0,22232.0
Śląskie,2022,140.0,27537.0,18931.0,1344.0,86.0,119442.0,2697.0,4346702.0,21652.0
Śląskie,2023,143.0,28738.0,21672.0,1311.0,83.0,113784.0,2783.0,4320130.0,21324.0
Śląskie,2024,143.0,29492.0,22388.0,1268.0,84.0,106336.0,2851.0,4291441.0,21024.0
Świętokrzyskie,2009,22.0,7307.0,4496.0,396.0,59.0,111231.0,475.0,1270120.0,6312.0
Świętokrzyskie,2010,22.0,7525.0,4766.0,403.0,60.0,109217.0,497.0,1282546.0,6445.0
Świętokrzyskie,2011,22.0,7652.0,5082.0,427.0,60.0,104987.0,538.0,1278116.0,6447.0
Świętokrzyskie,2012,25.0,8118.0,5277.0,417.0,56.0,104628.0,540.0,1273995.0,6581.0
Świętokrzyskie,2013,25.0,8152.0,5491.0,410.0,59.0,111593.0,557.0,1268239.0,6202.0
Świętokrzyskie,2014,25.0,8459.0,5780.0,418.0,61.0,106596.0,568.0,1263176.0,6309.0
Świętokrzyskie,2015,25.0,8559.0,6066.0,421.0,60.0,101202.0,576.0,1257179.0,6313.0
Świętokrzyskie,2016,25.0,8599.0,6297.0,425.0,58.0,91678.0,606.0,1252900.0,6312.0
Świętokrzyskie,2017,25.0,9319.0,6455.0,432.0,60.0,83561.0,624.0,1247732.0,6125.0
Świętokrzyskie,2018,24.0,9417.0,6574.0,412.0,55.0,74573.0,634.0,1241546.0,5721.0
Świętokrzyskie,2019,24.0,9689.0,6575.0,396.0,54.0,68687.0,642.0,1233961.0,5348.0
Świętokrzyskie,2020,24.0,9613.0,6573.0,390.0,46.0,62316.0,634.0,1199584.0,5404.0
Świętokrzyskie,2021,23.0,10622.0,4342.0,382.0,46.0,54680.0,632.0,1187693.0,5504.0
