Nazwa,Rok,Szpitale,Pielegniarki_Polozne,Lekarze,Apteki,Punkty_apteczne,Osoby_swiadczenia_spoleczne,Placowki_ambulatoryjne,Ludnosc,Lozka,lekarze_na_10tys,pielegniarki_polozne_na_10tys,apteki_na_10tys,punkty_apteczne_na_10tys,apteki_i_punkty_na_10tys,szpitale_na_10tys,lozka_na_10tys,placowki_ambulatoryjne_na_10tys,mieszkancow_na_apteke,lekarze_na_10tys_norm,pielegniarki_polozne_na_10tys_norm,apteki_i_punkty_na_10tys_norm,szpitale_na_10tys_norm,lozka_na_10tys_norm,placowki_ambulatoryjne_na_10tys_norm,indeks_dostepnosci,miejsce_w_rankingu
Mazowieckie,2016,108.0,35157.0,38272.0,1778.0,140.0,244306.0,2885.0,5365898.0,26240.0,71.32,65.52,3.31,0.26,3.57,0.2,48.9,5.38,3017.94,0.8397459165154263,0.41087613293051356,0.56875,0.2500000000000001,0.6524415264669676,0.5023041474654377,0.537,7
Opolskie,2016,30.0,5755.0,3938.0,327.0,47.0,52073.0,543.0,993036.0,4741.0,39.66,57.95,3.29,0.47,3.77,0.3,47.74,5.47,3036.81,0.26515426497277667,0.26793806646525686,0.6937500000000001,0.75,0.6048420188756669,0.5230414746543778,0.517,8
Świętokrzyskie,2016,25.0,8599.0,6297.0,425.0,58.0,91678.0,606.0,1252900.0,6312.0,50.26,68.63,3.39,0.46,3.86,0.2,50.38,4.84,2948.0,0.4575317604355716,0.46959969788519634,0.75,0.2500000000000001,0.7131719327041446,0.37788018433179715,0.503,9
Warmińsko-Mazurskie,2016,45.0,8301.0,6127.0,428.0,44.0,140244.0,870.0,1436367.0,6757.0,42.66,57.79,2.98,0.31,3.29,0.31,47.04,6.06,3356.0,0.31960072595281297,0.26491691842900306,0.39375000000000004,0.8,0.576118178087813,0.6589861751152073,0.502,10
Zachodniopomorskie,2016,46.0,8979.0,8163.0,575.0,45.0,113951.0,973.0,1708174.0,8173.0,47.79,52.56,3.37,0.26,3.63,0.27,47.85,5.7,2970.74,0.41270417422867506,0.1661631419939578,0.60625,0.6000000000000002,0.6093557652851869,0.5760368663594471,0.495,11
Podkarpackie,2016,40.0,14254.0,9170.0,700.0,138.0,137591.0,1182.0,2127656.0,10342.0,43.1,66.99,3.29,0.65,3.94,0.19,48.61,5.56,3039.51,0.3275862068965517,0.4386329305135951,0.8,0.20000000000000007,0.6405416495691424,0.5437788018433178,0.492,12
Lubuskie,2016,24.0,5583.0,4425.0,319.0,53.0,76651.0,584.0,1017376.0,4347.0,43.49,54.88,3.14,0.52,3.66,0.24,42.73,5.74,3189.27,0.3346642468239564,0.20996978851963755,0.6250000000000001,0.45,0.39926138695116936,0.5852534562211982,0.434,13
Kujawsko-Pomorskie,2016,40.0,11908.0,10833.0,630.0,84.0,179257.0,834.0,2083927.0,9860.0,51.98,57.14,3.02,0.4,3.43,0.19,47.31,4.0,3307.82,0.48874773139745903,0.2526435045317221,0.4812500000000001,0.20000000000000007,0.5871973738202709,0.184331797235023,0.366,14
Wielkopolskie,2016,60.0,15268.0,12523.0,1299.0,126.0,169121.0,1932.0,3481625.0,15422.0,35.97,43.85,3.73,0.36,4.09,0.17,44.3,5.55,2680.23,0.19818511796733207,0.0016993957703928136,0.89375,0.1000000000000001,0.4636848584324989,0.5414746543778801,0.366,14
Pomorskie,2016,53.0,11502.0,12584.0,739.0,48.0,134911.0,1002.0,2315611.0,9119.0,54.34,49.67,3.19,0.21,3.4,0.23,39.38,4.33,3133.44,0.531578947368421,0.11159365558912393,0.46249999999999997,0.40000000000000013,0.26179729175215444,0.26036866359447003,0.338,16
Śląskie,2017,155.0,33203.0,30157.0,1526.0,110.0,190637.0,2849.0,4548180.0,25091.0,66.31,73.0,3.36,0.24,3.6,0.34,55.17,6.26,2980.46,0.7488203266787659,0.5521148036253777,0.5875000000000001,0.9500000000000002,0.9097250718096022,0.7050691244239631,0.742,1
Łódzkie,2017,65.0,15081.0,16075.0,945.0,97.0,138528.0,1621.0,2476315.0,12776.0,64.92,60.9,3.82,0.39,4.21,0.26,51.59,6.55,2620.44,0.7235934664246824,0.3236404833836858,0.9687500000000001,0.5500000000000002,0.7628231432088636,0.7718894009216589,0.683,2
Lubelskie,2017,53.0,14759.0,13058.0,831.0,58.0,106750.0,1288.0,2126317.0,11190.0,61.41,69.41,3.91,0.27,4.18,0.25,52.63,6.06,2558.74,0.6598911070780398,0.4843277945619335,0.95,0.5000000000000001,0.8054985638079608,0.6589861751152073,0.676,3
Podlaskie,2017,36.0,7454.0,6196.0,413.0,60.0,77007.0,764.0,1184548.0,5964.0,52.31,62.93,3.49,0.51,3.99,0.3,50.35,6.45,2868.15,0.4947368421052631,0.3619712990936556,0.8312500000000003,0.75,0.7119409109560937,0.7488479262672811,0.65,4
Małopolskie,2017,87.0,23216.0,22747.0,1157.0,135.0,152179.0,1915.0,3391380.0,14988.0,67.07,68.46,3.41,0.4,3.81,0.26,44.19,5.65,2931.18,0.7626134301270415,0.46638972809667667,0.7187500000000001,0.5500000000000002,0.459171112022979,0.5645161290322581,0.587,5
Dolnośląskie,2017,81.0,17491.0,15264.0,1077.0,63.0,125046.0,1542.0,2902547.0,14637.0,52.59,60.26,3.71,0.22,3.93,0.28,50.43,5.31,2695.03,0.4998185117967332,0.31155589123867067,0.7937500000000002,0.6500000000000002,0.7152236356175626,0.48617511520737317,0.576,6
Mazowieckie,2017,118.0,36195.0,38625.0,1795.0,143.0,223366.0,3028.0,5384617.0,26049.0,71.73,67.22,3.33,0.27,3.6,0.22,48.38,5.62,2999.79,0.8471869328493647,0.44297583081570996,0.5875000000000001,0.3500000000000001,0.6311038161674192,0.5576036866359447,0.569,7
Świętokrzyskie,2017,25.0,9319.0,6455.0,432.0,60.0,83561.0,624.0,1247732.0,6125.0,51.73,74.69,3.46,0.48,3.94,0.2,49.09,5.0,2888.27,0.4842105263157893,0.5840256797583081,0.8,0.2500000000000001,0.6602379975379568,0.4147465437788018,0.532,8
Opolskie,2017,31.0,5965.0,3914.0,335.0,43.0,47389.0,546.0,990069.0,4569.0,39.53,60.25,3.38,0.43,3.82,0.31,46.15,5.51,2955.43,0.2627949183303085,0.31136706948640486,0.725,0.8,0.53959786622897,0.532258064516129,0.529,9
Podkarpackie,2017,41.0,15137.0,9383.0,714.0,128.0,122465.0,1242.0,2129138.0,10219.0,44.07,71.09,3.35,0.6,3.95,0.19,48.0,5.83,2981.99,0.34519056261343006,0.5160498489425983,0.8062500000000002,0.20000000000000007,0.6155108740254411,0.6059907834101382,0.515,10
Warmińsko-Mazurskie,2017,44.0,8227.0,5826.0,439.0,42.0,125898.0,869.0,1433945.0,6709.0,40.63,57.37,3.06,0.29,3.35,0.31,46.79,6.06,3266.39,0.2827586206896552,0.25698640483383683,0.4312500000000001,0.8,0.5658596635207223,0.6589861751152073,0.499,11
Zachodniopomorskie,2017,44.0,9147.0,8330.0,588.0,44.0,100011.0,973.0,1705533.0,7895.0,48.84,53.63,3.45,0.26,3.71,0.26,46.29,5.7,2900.57,0.4317604355716878,0.1863670694864049,0.65625,0.5500000000000002,0.5453426343865408,0.5760368663594471,0.491,12
Lubuskie,2017,24.0,5936.0,4592.0,329.0,49.0,69413.0,585.0,1016832.0,4401.0,45.16,58.38,3.24,0.48,3.72,0.24,43.28,5.75,3090.67,0.36497277676950984,0.2760574018126889,0.6625000000000002,0.45,0.42183011899876904,0.5875576036866359,0.46,13
Wielkopolskie,2017,62.0,16522.0,13154.0,1364.0,123.0,158227.0,1931.0,3489210.0,15600.0,37.7,47.35,3.91,0.35,4.26,0.18,44.71,5.53,2558.07,0.2295825771324864,0.06778700906344418,1.0,0.15,0.4805088223225278,0.5368663594470047,0.411,14
Kujawsko-Pomorskie,2017,41.0,12507.0,11236.0,648.0,85.0,167527.0,862.0,2082944.0,9794.0,53.94,60.04,3.11,0.41,3.52,0.2,47.02,4.14,3214.42,0.5243194192377494,0.3074018126888218,0.5375000000000001,0.2500000000000001,0.5752974969224458,0.21658986175115197,0.402,15
